Fecha_Atencion,Valor_Lab,NIÑO,ADOLESCENTE,JOVEN,ADULTO,ADULTO MAYOR
2026-05-02,1,9,0,1,5,0
2026-05-02,NAN,1,0,0,0,0
2026-05-02,TA,0,0,1,1,0
2026-05-04,1,4,0,2,6,1
2026-05-04,NAN,2,0,0,1,0
2026-05-04,TA,3,0,1,2,0
2026-05-05,1,5,2,0,0,2
2026-05-05,2,0,1,0,0,0
2026-05-06,1,6,0,0,3,0
2026-05-06,TA,0,0,0,1,0
2026-05-07,2,0,5,0,0,0
2026-05-07,TA,1,0,0,0,0
2026-05-07,1,2,10,0,0,1
2026-05-08,1,1,2,4,5,4
2026-05-08,2,0,1,0,0,0
2026-05-08,NAN,0,0,0,0,1
2026-05-08,TA,0,0,0,2,0
2026-05-09,1,2,0,0,2,0
2026-05-09,TA,2,0,0,0,0
2026-05-11,1,4,0,0,4,0
2026-05-12,1,1,0,0,7,0
2026-05-12,TA,1,0,0,1,0
2026-05-13,1,4,0,0,1,0
2026-05-13,TA,1,0,0,1,0
2026-05-14,1,5,4,0,1,0
2026-05-14,2,0,2,0,0,0
2026-05-15,TA,1,0,0,0,0
2026-05-15,1,2,0,0,1,0
2026-05-16,1,1,0,4,36,10
2026-05-16,TA,2,0,1,31,0
2026-05-18,1,8,3,26,63,6
2026-05-18,2,0,1,0,0,0
2026-05-18,TA,3,0,65,43,6
2026-05-19,1,3,173,1,49,0
2026-05-19,2,0,252,0,0,0
2026-05-19,TA,1,82,0,0,0
2026-05-20,1,5,0,4,15,4
2026-05-20,TA,26,0,12,21,3
2026-05-21,NAN,0,3,0,1,1
2026-05-21,TA,20,56,1,30,8
2026-05-21,2,0,162,0,0,0
2026-05-21,1,2,100,3,62,1
2026-05-22,1,4,122,0,0,2
2026-05-22,2,0,183,0,0,0
2026-05-22,TA,3,61,0,0,26
2026-05-23,1,9,10,0,4,2
2026-05-23,2,0,15,0,0,0
2026-05-23,TA,19,5,0,2,24
2026-05-24,1,1,0,0,0,0
2026-05-25,1,3,0,4,6,1
2026-05-25,TA,1,0,0,0,0
2026-05-26,1,1,2,0,0,0
2026-05-26,2,0,1,0,0,0
2026-05-27,1,3,0,0,0,0
2026-05-27,TA,1,0,0,0,0
